                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.53478,                0.30479,                0.81812,                0.98661,                0.98452,                0.99362,                 0.9048,                0.58794,                0.33523,                0.77701,              0.0012537,              0.0012537,              0.0012537
                     51,                0.55128,                0.31181,                0.81947,                 0.9798,                0.98216,                0.99253,                0.90281,                0.56195,                 0.4157,                0.77102,              0.0012385,              0.0012385,              0.0012385
                     52,                0.54279,                0.30598,                0.81825,                0.97839,                 0.9811,                0.99316,                0.91199,                0.55326,                0.38578,                0.77286,              0.0012232,              0.0012232,              0.0012232
                     53,                0.52823,                0.29707,                0.81638,                0.98527,                0.98377,                0.99355,                 0.9033,                 0.5856,                0.33667,                0.77746,               0.001208,               0.001208,               0.001208
                     54,                0.52535,                0.30096,                0.81589,                0.98387,                0.98193,                0.99339,                0.90272,                0.58474,                0.36435,                0.77705,              0.0011928,              0.0011928,              0.0011928
                     55,                0.52665,                0.30307,                0.81558,                0.98608,                0.98291,                0.99375,                 0.9144,                0.54263,                0.35013,                0.77056,              0.0011775,              0.0011775,              0.0011775
                     56,                 0.5286,                 0.3027,                0.81638,                0.98285,                0.98387,                 0.9934,                0.90996,                0.55621,                0.36372,                0.77374,              0.0011623,              0.0011623,              0.0011623
                     57,                0.51624,                0.29411,                0.81463,                0.98302,                 0.9821,                0.99335,                0.91201,                 0.5557,                0.37982,                0.77167,              0.0011471,              0.0011471,              0.0011471
                     58,                0.52875,                0.30345,                0.81496,                0.98457,                0.98496,                0.99353,                0.90399,                0.57989,                0.35304,                0.77427,              0.0011318,              0.0011318,              0.0011318
                     59,                0.51195,                0.29221,                0.81387,                0.98497,                0.98491,                0.99367,                0.90264,                 0.5646,                 0.3349,                0.76946,              0.0011166,              0.0011166,              0.0011166
                     60,                0.50397,                0.29712,                0.81137,                0.98497,                0.98307,                 0.9936,                0.91346,                0.52729,                0.34719,                0.76615,              0.0011014,              0.0011014,              0.0011014
                     61,                 0.5104,                0.29687,                0.81209,                0.97942,                0.97907,                0.99268,                 0.9045,                0.57398,                0.46811,                0.77218,              0.0010862,              0.0010862,              0.0010862
                     62,                0.51638,                0.30296,                 0.8147,                0.98556,                0.98136,                0.99352,                0.91351,                0.54555,                0.34057,                0.76869,              0.0010709,              0.0010709,              0.0010709
                     63,                0.52039,                0.29331,                  0.815,                0.98125,                0.98218,                0.99332,                0.90714,                0.55796,                0.40385,                0.76937,              0.0010557,              0.0010557,              0.0010557
                     64,                 0.5016,                0.28907,                0.81232,                0.98508,                 0.9841,                0.99361,                0.90416,                0.56828,                0.33698,                0.77003,              0.0010405,              0.0010405,              0.0010405
                     65,                0.49903,                0.28543,                0.81095,                0.98692,                0.98308,                0.99374,                  0.917,                0.53224,                0.31594,                0.76842,              0.0010252,              0.0010252,              0.0010252
                     66,                0.49192,                0.28379,                0.81058,                0.98537,                0.98526,                0.99372,                0.90761,                0.55402,                0.31714,                0.76968,                0.00101,                0.00101,                0.00101
                     67,                0.49332,                0.28361,                0.81139,                0.98229,                0.98428,                0.99355,                0.89354,                0.61582,                0.38325,                0.77502,             0.00099477,             0.00099477,             0.00099477
                     68,                0.50078,                0.28555,                0.81124,                0.98308,                0.98677,                0.99366,                0.91294,                0.54739,                 0.3398,                0.77212,             0.00097954,             0.00097954,             0.00097954
                     69,                0.49929,                0.28639,                0.81193,                0.98222,                0.98488,                 0.9934,                0.90632,                0.55493,                0.39158,                0.76992,             0.00096431,             0.00096431,             0.00096431
                     70,                0.48861,                 0.2786,                0.81032,                 0.9785,                  0.982,                 0.9931,                0.89537,                0.60015,                0.44725,                0.77386,             0.00094908,             0.00094908,             0.00094908
                     71,                0.48691,                0.28288,                0.80814,                0.98435,                 0.9847,                0.99367,                0.90625,                0.56974,                0.32876,                0.77232,             0.00093385,             0.00093385,             0.00093385
                     72,                0.48405,                0.28282,                0.80886,                0.98408,                0.98445,                0.99372,                0.90103,                0.57467,                0.32107,                0.76878,             0.00091862,             0.00091862,             0.00091862
                     73,                 0.4773,                0.27711,                0.80863,                0.97933,                0.98232,                0.99256,                0.88709,                0.62109,                0.45137,                0.77311,             0.00090338,             0.00090338,             0.00090338
                     74,                0.47957,                0.27534,                0.80708,                0.98212,                0.98297,                0.99347,                0.89324,                0.60509,                0.37518,                0.77303,             0.00088815,             0.00088815,             0.00088815
                     75,                0.46852,                0.27222,                0.80695,                0.97676,                 0.9814,                0.99299,                0.88689,                 0.6249,                0.48774,                0.77354,             0.00087292,             0.00087292,             0.00087292
                     76,                0.47435,                0.27231,                0.80754,                0.98536,                0.98534,                0.99373,                0.88255,                0.64106,                 0.3343,                0.77481,             0.00085769,             0.00085769,             0.00085769
                     77,                 0.4783,                0.27267,                0.80803,                0.98447,                0.98521,                0.99365,                 0.8899,                0.61662,                0.32635,                0.77508,             0.00084246,             0.00084246,             0.00084246
                     78,                0.46744,                0.27433,                0.80648,                0.98138,                0.98288,                 0.9934,                0.88639,                0.62642,                0.39539,                 0.7758,             0.00082723,             0.00082723,             0.00082723
                     79,                0.46687,                0.27204,                0.80513,                0.97383,                0.98218,                0.99281,                0.88586,                0.62936,                0.53912,                 0.7749,               0.000812,               0.000812,               0.000812
                     80,                0.47481,                0.27371,                 0.8062,                  0.983,                 0.9837,                0.99352,                0.88205,                0.63822,                 0.3759,                0.77343,             0.00079677,             0.00079677,             0.00079677
                     81,                0.45578,                0.26674,                0.80427,                0.98336,                0.98349,                0.99356,                0.88125,                0.65139,                0.37955,                0.77694,             0.00078154,             0.00078154,             0.00078154
                     82,                0.45402,                0.26666,                 0.8042,                0.98403,                0.98347,                0.99362,                0.88058,                0.63814,                0.34581,                0.77295,             0.00076631,             0.00076631,             0.00076631
                     83,                0.45949,                0.26627,                0.80451,                0.98477,                0.98571,                0.99373,                0.88665,                0.62691,                0.32765,                0.77356,             0.00075108,             0.00075108,             0.00075108
                     84,                0.45419,                0.26383,                0.80325,                0.98185,                0.98267,                0.99344,                 0.8841,                0.64407,                0.37858,                0.77541,             0.00073585,             0.00073585,             0.00073585
                     85,                0.46014,                0.26796,                0.80542,                0.98281,                0.98207,                0.99355,                0.88014,                0.65657,                0.38973,                0.77602,             0.00072062,             0.00072062,             0.00072062
                     86,                0.45658,                 0.2663,                0.80412,                0.97644,                0.98343,                0.99311,                0.87455,                0.67544,                 0.4443,                0.77967,             0.00070538,             0.00070538,             0.00070538
                     87,                0.45157,                0.26266,                 0.8044,                0.97975,                0.98406,                0.99341,                0.87491,                0.68473,                0.39803,                0.78049,             0.00069015,             0.00069015,             0.00069015
                     88,                0.44881,                0.26044,                0.80337,                0.98234,                0.98574,                0.99362,                0.87879,                0.67415,                0.36604,                0.78149,             0.00067492,             0.00067492,             0.00067492
                     89,                0.44773,                0.25924,                  0.803,                0.98201,                0.98569,                0.99352,                0.88399,                0.64503,                0.34996,                0.77337,             0.00065969,             0.00065969,             0.00065969
                     90,                0.43629,                0.25472,                0.80169,                0.97876,                0.98471,                0.99342,                0.89769,                0.59097,                0.40198,                0.76866,             0.00064446,             0.00064446,             0.00064446
                     91,                0.43507,                0.25657,                0.80218,                0.98192,                0.98266,                0.99332,                 0.8824,                0.64724,                0.38887,                0.77474,             0.00062923,             0.00062923,             0.00062923
                     92,                0.43427,                0.25731,                0.80112,                0.98375,                0.98553,                0.99368,                0.87944,                0.66866,                0.35127,                0.77809,               0.000614,               0.000614,               0.000614
                     93,                0.44295,                0.25999,                0.80225,                0.97963,                0.97905,                 0.9931,                 0.8796,                0.66282,                0.46032,                0.77709,             0.00059877,             0.00059877,             0.00059877
